Date,Hsi_Close,Date,Dji_Close
5/25/2006,15696.89,5/22/2006,11125.32
5/26/2006,15895.1,5/23/2006,11098.35
5/29/2006,15963.77,5/24/2006,11117.32
5/30/2006,15857.89,5/25/2006,11211.05
6/1/2006,15645.27,5/26/2006,11278.61
6/2/2006,15912.71,5/30/2006,11094.43
6/5/2006,16016.23,5/31/2006,11168.31
6/6/2006,15973.11,6/1/2006,11260.28
6/7/2006,15816.55,6/2/2006,11247.87
6/8/2006,15450.11,6/5/2006,11048.72
6/9/2006,15628.69,6/6/2006,11002.14
6/12/2006,15621.44,6/7/2006,10930.9
6/13/2006,15234.42,6/8/2006,10938.82
6/14/2006,15247.92,6/9/2006,10891.92
6/15/2006,15435.08,6/12/2006,10792.58
6/16/2006,15842.65,6/13/2006,10706.14
6/19/2006,15768.86,6/14/2006,10816.91
6/20/2006,15608.97,6/15/2006,11015.19
6/21/2006,15659.36,6/16/2006,11014.54
6/22/2006,15826.7,6/19/2006,10942.11
6/23/2006,15808.81,6/20/2006,10974.84
6/26/2006,15804.81,6/21/2006,11079.46
6/27/2006,15774.7,6/22/2006,11019.11
6/28/2006,15742.66,6/23/2006,10989.09
6/29/2006,15865.22,6/26/2006,11045.28
6/30/2006,16267.62,6/27/2006,10924.74
7/3/2006,16326.66,6/28/2006,10973.56
7/4/2006,16368.98,6/29/2006,11190.8
7/5/2006,16267.18,6/30/2006,11150.22
7/6/2006,16440.99,7/3/2006,11228.02
7/7/2006,16459.78,7/5/2006,11151.82
7/10/2006,16603.81,7/6/2006,11225.3
7/11/2006,16490.13,7/7/2006,11090.67
7/12/2006,16522.21,7/10/2006,11103.55
7/13/2006,16305.48,7/11/2006,11134.77
7/14/2006,16135.71,7/12/2006,11013.18
7/17/2006,16064.82,7/13/2006,10846.29
7/18/2006,16043.94,7/14/2006,10739.35
7/19/2006,16097.54,7/17/2006,10747.36
7/20/2006,16472.62,7/18/2006,10799.23
7/21/2006,16464.18,7/19/2006,11011.42
7/24/2006,16480.59,7/20/2006,10928.1
7/25/2006,16583.86,7/21/2006,10868.38
7/26/2006,16617.24,7/24/2006,11051.05
7/27/2006,16916.77,7/25/2006,11103.71
7/28/2006,16955.04,7/26/2006,11102.51
7/31/2006,16971.34,7/27/2006,11100.43
8/1/2006,16911.37,7/28/2006,11219.7
8/2/2006,17032.75,7/31/2006,11185.68
8/3/2006,17048.42,8/1/2006,11125.73
