,Company,yearly_returns,yearly_vol
113,CL,-0.01348603770545821,0.1797592636061133
114,CMCSA,0.000593590043180976,0.206273495737092
115,CMA,-0.0796330621293476,0.2828140799333977
116,CAG,0.20740428816884407,0.24435832987403883
117,CXO,-0.08068508898752426,0.41815501262885313
118,COP,-0.2886243373009495,0.3137877743781922
119,ED,0.009185730353496971,0.18884973548852713
120,STZ,0.47192802513238247,0.199566865651292
121,GLW,-0.18607658059644855,0.2507044775648612
122,COST,0.19062499721222323,0.17925167268839454
123,CCI,0.1321762626619834,0.1684623111323995
124,CSX,-0.2594821957800347,0.2747805778934168
125,CMI,-0.38133361338809396,0.2434449667351
126,CVS,0.04210513937702963,0.19481084147449138
127,DHI,0.29558595404923643,0.3127001859980843
128,DHR,0.09027448920085027,0.1793446740493056
129,DRI,0.12659723941233333,0.26360956844104605
