Date,Open,High,Low,Close,Volume,Adj Close
10/27/2003,11749.87,12304.57,11678.2,12190.1,324111800,12190.1
11/3/2003,12222.44,12537.19,12059.97,12215.17,281431400,12215.17
11/10/2003,12224.79,12281.35,11872.44,12203.53,207991800,12203.53
11/17/2003,11950.48,12049.53,11661.47,11839.8,258530100,11839.8
11/24/2003,11854.97,12339.94,11793.82,12317.47,194552100,12317.47
12/1/2003,12306.26,12539,12236.24,12314.73,217023200,12314.73
12/8/2003,12214.19,12674.08,12124,12594.42,218062600,12594.42
12/15/2003,12705.42,12740.5,12111.23,12371.75,549371700,12371.75
12/22/2003,12422.32,12545.04,12405.64,12456.7,174720700,12456.7
12/29/2003,12443.56,12815.08,12336.73,12801.48,215974700,12801.48
1/5/2004,12844.59,13405.34,12763.1,13385.8,464515900,13385.8
1/12/2004,13315.29,13446.76,13136.92,13167.76,327039600,13167.76
1/19/2004,13187,13776.85,13098.26,13750.58,329775400,13750.58
1/26/2004,13756.76,13780.71,13168.43,13289.37,433574900,13289.37
2/2/2004,13158.26,13320.85,12877.09,13309.6,278096600,13309.6
2/9/2004,13437.21,13744.38,13437.21,13739.8,332862800,13739.8
2/16/2004,13727.97,13984.38,13712.6,13868.37,307361600,13868.37
2/23/2004,13849.68,13934.75,13560.85,13907.03,269241400,13907.03
3/1/2004,14021.36,14058.21,13402.67,13454.76,270464800,13454.76
3/8/2004,13549.94,13677.68,12730.49,12932.23,380375500,12932.23
3/15/2004,13002.32,13075.96,12715.97,12790.58,267089000,12790.58
3/22/2004,12593.42,12699.34,12424.38,12483.24,324672000,12483.24
3/29/2004,12493.36,12763.05,12400.35,12731.76,272018000,12731.76
4/6/2004,12886.11,12979.74,12833.28,12909.37,289974300,12909.37
4/13/2004,13015.24,13126.15,12358.46,12458.38,419726900,12458.38
4/19/2004,12452,12514.85,12091.26,12383.94,321892500,12383.94
4/26/2004,12304.87,12309.46,11856.34,11942.96,323740400,11942.96
5/3/2004,11876.2,12154.18,11835.26,11910.76,276086300,11910.76
5/10/2004,11704.25,11704.25,11245.66,11276.86,355877400,11276.86
5/17/2004,11207.25,11602.27,10917.65,11576.01,387262800,11576.01
5/24/2004,11584.43,12222.26,11512.61,12116.87,319109800,12116.87
5/31/2004,12081.68,12253.26,11844.71,12022.64,248216200,12022.64
6/7/2004,12258.72,12463.26,12233.89,12396.39,291602500,12396.39
6/14/2004,12430.2,12538.65,11789.45,11855.55,271739700,11855.55
6/21/2004,11997.32,12207.12,11781.82,12185.52,265835800,12185.52
6/28/2004,12142.36,12328.48,12037.96,12220.13,238084900,12220.13
7/5/2004,12160.22,12345.18,12114.91,12202.26,205813300,12202.26
7/12/2004,12227.55,12267.91,11862.68,12059.2,204064600,12059.2
7/19/2004,12079.43,12399.37,12033.22,12352.99,241812900,12352.99
7/26/2004,12242.6,12382.03,12084.68,12238.03,207831700,12238.03
8/2/2004,12233.63,12518.55,12131.76,12478.68,263586000,12478.68
8/9/2004,12420.73,12534.64,12271.89,12359.83,229933800,12359.83
8/16/2004,12320.77,12428.77,12150.71,12376.9,217338600,12376.9
8/23/2004,12413.77,12898.02,12385.75,12818.42,337114600,12818.42
8/30/2004,12806.64,13088.42,12802.13,12948.1,258487000,12948.1
9/6/2004,12964.7,13190.39,12865.06,13003.99,315533600,13003.99
9/13/2004,13079.39,13254.21,13007.63,13224.93,394127300,13224.93
9/20/2004,13236.48,13356.88,13035.16,13066.84,445341900,13066.84
9/27/2004,13053.6,13154.91,12884.4,13120.03,326380200,13120.03
10/4/2004,13347.17,13402.96,13186.21,13241.46,343773000,13241.46
10/11/2004,13240.85,13321.54,12982.29,13059.43,281224400,13059.43
10/18/2004,13074.73,13155.37,12945.3,13015.2,214668200,13015.2
10/25/2004,12816.08,13141.3,12743.42,13054.66,355770000,13054.66
11/1/2004,13039.4,13536.87,13001.32,13494.95,321656100,13494.95
11/8/2004,13536.21,13822.11,13463.72,13784.46,353588600,13784.46
11/15/2004,13906.99,13950.94,13726.79,13787.68,424323700,13787.68
11/22/2004,13646.81,14091.89,13629.78,13895.03,383068300,13895.03
11/29/2004,13979.33,14339.06,13936.51,14211.84,458519200,14211.84
12/6/2004,14256.01,14317.31,13869.53,13901.81,362327000,13901.81
12/13/2004,13875.37,14137.38,13760.11,13992.44,340278900,13992.44
12/20/2004,14000.18,14259.94,13957.25,14194.9,205213800,14194.9
12/28/2004,14147.93,14333.24,14096.82,14230.14,202400700,14230.14
1/3/2005,14216.04,14267.21,13403,13574.86,412645900,13574.86
1/10/2005,13573.42,13649.43,13352.71,13494.78,372964800,13494.78
1/17/2005,13529.08,13700.94,13432.46,13481.02,358285800,13481.02
1/24/2005,13449.88,13750.48,13320.53,13650.06,355803300,13650.06
1/31/2005,13625.23,13762.86,13454.4,13585.17,382464200,13585.17
2/7/2005,13749.08,13863.99,13749.08,13845.63,300726700,13845.63
2/14/2005,14006.54,14093.43,13898.92,14087.87,322356800,14087.87
2/21/2005,14072.41,14207.53,13907.54,14157.09,331085000,14157.09
2/28/2005,14204.86,14272.54,13692.39,13730.78,344305000,13730.78
3/7/2005,13829.84,13996.46,13736.18,13890.93,337311200,13890.93
3/14/2005,13832.94,13935.11,13647.06,13828.37,313627900,13828.37
3/21/2005,13822.95,13865.12,13547.84,13597.1,280582100,13597.1
3/29/2005,13552.1,13556.14,13357.17,13491.35,366251600,13491.35
4/4/2005,13474.36,13686.99,13436.96,13666.72,288367000,13666.72
4/11/2005,13614.05,13808.51,13579.16,13638.75,252211600,13638.75
4/18/2005,13382.02,13727.44,13337.44,13693.55,305333800,13693.55
4/25/2005,13744.45,13956.52,13711.39,13908.97,294372600,13908.97
5/3/2005,13969.64,14110.29,13877.92,14033.96,265606400,14033.96
5/9/2005,14068.26,14112.61,13841.86,13866.81,228749300,13866.81
5/17/2005,13861.6,13863.16,13590.05,13717.42,281878500,13717.42
5/23/2005,13730.09,13739.2,13541.77,13714.78,203500200,13714.78
5/30/2005,13741.28,13946.01,13684.52,13818.45,305971600,13818.45
6/6/2005,13768.03,13984.34,13745.68,13934.76,338300500,13934.76
6/13/2005,13948.42,13999.06,13801.42,13912.03,293099100,13912.03
6/20/2005,13928.71,14233.81,13890.78,14230.29,453900400,14230.29
6/27/2005,14142.49,14365.05,14142.14,14201.06,468060800,14201.06
7/4/2005,14188.35,14202.09,13920.87,13964.47,389266700,13964.47
7/11/2005,14065.34,14550.17,14047.01,14504.29,465023200,14504.29
7/18/2005,14496.55,14800.31,14487.87,14786.46,441073700,14786.46
7/25/2005,14794.93,14899.71,14743.69,14880.98,363511600,14880.98
8/1/2005,14892.73,15201.82,14841.12,15051.32,435749100,15051.32
8/8/2005,15033.98,15480.8,15024.54,15450.95,414653000,15450.95
8/15/2005,15435.49,15508.57,15001.44,15038.61,382450400,15038.61
8/22/2005,15093.18,15244.9,14832,14982.89,298423600,14982.89
8/29/2005,14851.68,15249.15,14734.43,15221.89,327677000,15221.89
9/5/2005,15231.77,15307.65,15038.65,15165.77,236742600,15165.77
9/12/2005,15240.4,15240.89,14965.98,14983.2,247100800,14983.2
9/20/2005,14994.77,15271.91,14943.61,15143.97,332635300,15143.97
9/26/2005,15166.16,15470.51,15127.99,15428.52,317862600,15428.52
10/3/2005,15399.87,15493,14798.91,14847.79,404292600,14847.79
10/10/2005,14898.84,14933.93,14439.13,14485.88,400179600,14485.88
10/17/2005,14551.74,14649.71,14308.61,14487.85,379098700,14487.85
